# Company list - run 2026-09-26 (last 4 weeks, Berlin + Amsterdam)
# 31 jobs, 27 companies - visa unclear: no sponsorship evidence found yet.
# Checked so far: official sponsor registers + the job search's own visa guess (no Google deep research yet).
# Format: Company | Job | City | Source | What was checked | Link
# Sorted by resume match (best first) - scores and JDs: jd_scores_2026-09-26.md, jds/2026-09-26/

Moss | Senior Data Scientist (f/m/d) | Amsterdam | LinkedIn | not on IND register; job ad and web search: nothing found | https://nl.linkedin.com/jobs/view/senior-data-scientist-f-m-d-at-moss-4436409854
BCG X | Forward Deployed AI Scientist, Germany & Austria - BCG X | Berlin | LinkedIn | not on Germany sponsor lists; job ad and web search: nothing found | https://de.linkedin.com/jobs/view/forward-deployed-ai-scientist-germany-austria-bcg-x-at-bcg-x-4424676642
Capgemini Invent | Senior Consultant / Manager (Gen) AI & Data Scientist / AI Garage (w/m/d) | Berlin | LinkedIn | not on Germany sponsor lists; job ad and web search: guess Visa unlikely · Reloc ❔ | https://de.linkedin.com/jobs/view/senior-consultant-manager-gen-ai-data-scientist-ai-garage-w-m-d-at-capgemini-invent-4471896244
Capgemini Invent | (Associate) Consultant Data Science & AI (m/w/d) | Berlin | LinkedIn | not on Germany sponsor lists; job ad and web search: guess Visa unlikely · Reloc ❔ | https://de.linkedin.com/jobs/view/associate-consultant-data-science-ai-m-w-d-at-capgemini-invent-4471878892
Limebit GmbH | Data Science & Machine Learning for Life-Science (m/w/d) | Berlin | LinkedIn | not on Germany sponsor lists; job ad and web search: nothing found | https://de.linkedin.com/jobs/view/data-science-machine-learning-for-life-science-m-w-d-at-limebit-gmbh-4459279094
perplexity | Member of Technical Staff (Machine Learning Research Engineer) | Berlin | company site | not on Germany sponsor lists; job ad and web search: guess Visa unlikely · Reloc ❔ | https://jobs.ashbyhq.com/perplexity/1a3df802-9238-4827-ab1f-12a9d1e4b81c
awin | Head of Product, AI Enablement (f/m/d) | Berlin | company site | not on Germany sponsor lists; job ad and web search: guess Visa unlikely · Reloc ❔ | https://job-boards.greenhouse.io/awin/jobs/8004490003
HERE Technologies | Principal ML & AI Engineer (Spatial AI & Perception) | Berlin | LinkedIn | not on Germany sponsor lists; job ad and web search: nothing found | https://de.linkedin.com/jobs/view/principal-ml-ai-engineer-spatial-ai-perception-at-here-technologies-4467741600
perplexity | Internship - Machine Learning Research Engineer | Berlin | company site | not on Germany sponsor lists; job ad and web search: guess Visa unlikely · Reloc ❔ | https://jobs.ashbyhq.com/perplexity/b9e1ff15-d52a-46d5-abf0-26460f2a116c

# Not for processing (dropped: agency hiding the employer, or says no sponsorship):
# Annapurna (Berlin) - recruitment agency, the real employer isn't named
# BAUMLINK (Berlin) - recruitment agency, the real employer isn't named
# Discover International (Berlin) - recruitment agency, the real employer isn't named
# European Tech Recruit (Berlin) - recruitment agency, the real employer isn't named
# European Tech Recruit (Berlin) - recruitment agency, the real employer isn't named
# Huxley (Amsterdam) - recruitment agency, the real employer isn't named
# Impala Search (Berlin) - recruitment agency, the real employer isn't named
# Not for processing (dropped: agency hiding the employer, or says no sponsorship):
# erg group (Berlin) - recruitment agency, the real employer isn't named
# team.blue (Berlin) - says no visa sponsorship
